record_id;redcap_survey_identifier;your_light_behaviour_leba_timestamp;leba_f2_04;leba_f2_05;leba_f2_06;leba_f2_07;leba_f2_08;leba_f2_09;leba_f3_10;leba_f3_11;leba_f3_12;leba_f3_13;leba_f3_14;leba_f4_15;leba_f4_16;leba_f4_17;leba_f4_18;leba_f5_19;leba_f5_20;leba_f5_21;leba_f5_22;leba_f5_23;your_light_behaviour_leba_complete;your_light_sensitivity_vlsq8_timestamp;sensitivity;glare;flicker;sensitivity_severity;headache;blurry_vision;ability;glasses;your_light_sensitivity_vlsq8_complete;your_sleep_environment_ase_timestamp;slypos_ase_001;slypos_ase_002;slypos_ase_003;slypos_ase_004;slypos_ase_005;slypos_ase_006;slypos_ase_007;slypos_ase_attentioncheck;slypos_ase_008;slypos_ase_009;slypos_ase_010;slypos_ase_011;slypos_ase_012;slypos_ase_0123;your_sleep_environment_ase_complete;light_glasses_acceptability_modified_tfa_acceptabi_timestamp;affective_attitude;burden;ethicality;perceived_effectiveness;intervention_coherence;self_efficacy;opportunity_costs;general_acceptability;light_glasses_acceptability_modified_tfa_acceptabi_complete;light_glasses_evaluation_timestamp;glasses_use;general_feeling;challenges;act_impact;beh_adapt;social;improvements;light_glasses_evaluation_complete
1;200;11.08.2023 16:36;1;5;5;5;5;5;5;5;5;3;3;5;5;5;3;1;5;5;5;2;2;11.08.2023 16:37;2;5;3;1;1;5;5;2;2;11.08.2023 16:37;2;4;4;4;4;3;3;2;4;4;4;4;3;2;2;11.08.2023 16:37;1;5;5;3;3;5;5;2;2;11.08.2023 16:37;1;dhaksb;osbdosb;osbdosb;sodnd;sidbd;sidbdo;2
2;201;21.08.2023 09:15;1;3;4;2;1;3;4;5;1;1;1;1;1;4;1;1;1;1;1;2;2;21.08.2023 09:18;2;1;1;2;2;1;2;1;2;21.08.2023 09:20;3;4;3;4;1;4;3;4;4;3;2;3;3;4;2;21.08.2023 09:22;2;3;2;4;3;2;1;2;2;21.08.2023 09:47;0;In the beginning I had the stronger emotions, as I was nervous about how the glasses would be perceived by people, and also excited to be participating in an experiment. both anxiety and excitement wore down during the week as I got used to the glasses. finally, towards the end of the experimental week, I was looking forward to the end, as keeping track of the wear lot/current conditions/other responsibilities was somewhat frustrating.;1. I do not normally wear glasses, so getting adjusted to the glasses was difficult. Especially due to the bulky frame and the light sensor, the light glasses were a bit painful to wear. I noticed that towards the end of the experiment, I subconsciously fiddled with the glasses more and more, and resting them on my head. I tried to limit how much I did this, but it's an automatic reaction when something is uncomfortable. I believe the light glasses would benefit from being lighter, and perhaps having some padding for resting on the nose.    2. you can see the frame in your field of vision, which is distracting for someone who is not used to wearing glasses.;N/A;1. I spent slightly less time at work than usual, as I found it harder to concentrate due to the light glasses  2. I was more conscious of my habits due to recording my hourly light exposure, exercise, etc. As a result I took more regular breaks from screens.;Friends and colleagues were naturally curious, but most found it funny/enterntaining, and the experience was mostly positive.    However, regularly in public places I would notice that people were glancing at me because of the glasses, which made me feel self conscious. one time I was even approached by someone who was concerned about the glasses.    I would say that the glasses somewhat affected almost all social interactions I had during the week, although most interactions were positive.  ;See my comment in question 3 about the weight of the glasses.    I also believe that there is a bias in the data collected by the glasses - most of my time spent outside is during exercise (e.g. running, swimming during the experiment week), however these are activities for which I had to take the glasses off.    while I understand the technical challenges, I believe that the light glasses would be a more pleasant experience if the light sensor was smaller and lighter, both for comfort and social reasons.    the app could also use some bug fixing. A couple of times in the wear log, it was stuck on asking me to record the time, without letting me record a new event;2
3;202;21.08.2023 09:23;3;3;1;1;1;1;5;5;1;5;3;1;1;5;1;1;5;1;1;1;2;21.08.2023 09:24;2;1;2;1;1;2;2;1;2;21.08.2023 09:25;2;4;4;2;1;4;4;4;4;4;4;1;2;4;2;21.08.2023 09:25;1;5;4;4;5;2;4;2;2;21.08.2023 09:36;1;I feel strange. When I'm outside everyone look at me. Sometimes I'm afraid that someone think I, the foreigner, was monitoring their life and then punch me. ;It always slip on my nose because of the weight of the light device are much more than glasses legs. Also the glasses is not clear even though I wipe it with cloth you offered. I feel very uncomfortable when I wear it: can't see my screen clearly and have to adjust the place of glasses on my nose every 15 seconds (roughly estimated). So inconvenient and I can't focus on my work. I have no idea to cope with it, except using my fingers to keep it in a fixed place. ;When I'm working and looking at the monitor. I have to adjust it very very often and I can't see the screen clearly. ;Keep my fingers on it, if I'm at home I tide the thread behind my head. ;My colleagues and neighbor asked me what's that. Also my roommate feels so uncomfortable when I wear this glasses and have meal with her. She said she felt like being monitored. ;No eyeglasses only glasses frame. It will be much better for me to see things clear. ;2
4;204;21.08.2023 15:36;1;1;3;4;4;4;5;5;5;1;1;5;1;5;3;1;2;1;1;1;2;21.08.2023 15:37;1;1;1;1;2;1;1;1;2;21.08.2023 15:38;2;3;4;4;1;4;1;4;4;3;3;3;3;4;2;21.08.2023 15:39;2;2;1;5;5;4;5;4;2;21.08.2023 15:45;0;Led to a lot of shifty looks from Strangers. I was definetly conscious of them most of the time.;Entering any public space made me feel like I had to explain myself, so there wouldn't be any misunderstandings. ;Basically all of the time. People were giving me looks, sometimes directly asking me whether I was filming them.;I didn't change my behaviour at all.;yes, quite a lot. To the Point where I saw no reason to log them anymore, as I frankly didn't have that much time to spend.;I'm not a technician, but if there is a way to make it look less like a camera, that would bei super helpful and circumvent a lot of awkward interactions.;2
5;206;04.09.2023 09:13;4;3;1;1;1;1;5;5;4;4;4;4;1;4;3;1;1;2;1;3;2;04.09.2023 09:14;3;3;4;2;2;2;2;2;2;04.09.2023 09:16;3;3;3;3;3;2;3;4;3;3;3;2;3;3;2;04.09.2023 09:17;2;4;2;4;4;3;4;4;2;04.09.2023 09:25;0;People would look at you, and people who knows me would be asking questions. It would be better if it doesn't hurt my ears when wearing them continuesly.;Hurts my ears when wearing them non-stop. I lay down or lean-back to something for support my head so that the glasses pressure is not entirely on me.;When I need to change or wash-up, I need to take it off and remember to put it back on.;I have been moving less and stay still a little bit more.;Friends and colleagues have been asking questions. ;Lighter and softer. Less pressure on the head or ears would be great. ;2
6;205;04.09.2023 14:14;1;3;3;3;4;1;5;4;3;1;1;2;1;4;1;3;2;2;1;2;2;04.09.2023 14:15;2;2;2;1;2;1;1;1;2;04.09.2023 14:17;3;3;3;4;3;4;4;4;4;2;4;4;3;4;2;04.09.2023 14:19;3;2;1;5;4;3;1;4;2;04.09.2023 14:29;0;The first day It felt a little strange and disturbing when I did something near my face. e.g. approaching the fork or looking at small letters when It was getting dark.  On the weekend It was quite Hot and It felt a little uncomfortable when my skin was sweating.  The rest of the time It was ok.;I was surprised that nobody reacted annoyed.  When I had to look at something like small letters especially when It was a little darker but not dark enough to switch on the light, I would raise the glasses for a couple of seconds and look directly.;When outside;Not at all, when somebody asked about the glasses or looked confused, I justo explained I was participating in this study and It was ok.;A couple of times, but much less than I had expected. At Legoland some.thought It was a camera but even if It has been they did not seem to be angry or worried about It.;Instead of glasses maybe It would be posible to put the device on some kind of hairclip.;2
7;208;11.09.2023 08:12;1;4;4;3;4;1;5;5;2;2;1;5;5;5;5;5;5;5;1;2;2;11.09.2023 08:14;4;4;2;3;3;2;4;1;2;11.09.2023 08:15;3;4;4;3;3;2;4;4;4;2;3;3;3;4;2;11.09.2023 08:15;2;5;2;4;4;2;4;3;2;11.09.2023 08:19;0;Caused a lot of dizziness and headache, as well as pain on the ears. Felt strange when walking outside;Pain - removed glasses ;When working at the computer, i got dizzy frequently ;Removed glasses and pushed them frequently so that they sit better;At work, at sport sessions, when out with friends;Glasses without lenses would be good  Maybe a smaller sensor? ;2
8;209;11.09.2023 08:25;2;3;4;5;1;2;5;5;3;4;1;5;1;5;5;1;1;1;1;5;2;11.09.2023 08:28;3;2;3;1;1;3;2;1;2;11.09.2023 08:30;4;3;4;2;2;3;4;4;4;3;3;3;3;3;2;11.09.2023 08:32;3;2;4;4;5;3;4;2;2;11.09.2023 08:42;0;it's a bit uncomfortable because people keep watching you.;sometimes people think that it's a video capturing device then I explained to them that it's just a sensor for observing light exposure. ;sometimes I needed to interrupt some tasks while focusing something.;I entered the data a bit later than the specified time if doing something important.;yes, people are curious about whether it's a webcam.;it would be better if the size of the sensor can be minimized.;2
9;210;11.09.2023 08:26;2;3;3;2;4;2;4;4;4;1;1;1;1;1;1;1;4;4;1;5;2;11.09.2023 08:26;1;3;2;1;1;1;2;1;2;11.09.2023 08:27;3;3;3;3;3;3;3;1;4;3;3;3;3;4;2;11.09.2023 08:28;2;4;3;4;3;4;4;4;2;11.09.2023 08:33;0;They were a bit uncomfortable. Without the glass panes imside it would havebeen easier to see theough.;The place were the glasses were held up stsrted to turn red and hurt after 1-2 days. I had to put some padding below eeventually.;in the officeit was sometimes hard to read the screen if the glasses were not completely clean;I hope I did notchangemy bahvior too much;"My colleagues were curious, but I think outside people sometimes mistook the glasses for a camera; at one point a group of students asked me not to film them. A bus driver and a cashier at the mensa inquired about the glasses";It would be better without the transparent glass panes, as they are not perfectöy transparent;2
10;212;18.09.2023 08:13;1;1;4;3;3;5;3;3;2;2;3;4;5;5;1;1;5;1;1;5;2;18.09.2023 08:14;2;2;1;2;1;1;1;1;2;18.09.2023 08:15;3;3;3;3;2;3;1;4;3;4;4;3;4;4;2;18.09.2023 08:20;4;2;1;5;4;2;2;4;2;18.09.2023 08:31;0;At the beginning it was uncomfortable but I got used to it. ;Some weird looks here and there but people reactions have never been a problem (even when people thought that it was a camera);Interactions with people I don't know were more difficult to initiate. Comfortable enough to work or exercise with;In some quick interaction at shops I was holding them higher when making eye contact.  I overall noticed I would make less eye contact with people that I don't know;All my colleagues and friend that saw them for the first time asked me what was on the glasses and commented on my look in a funny way.   ;Smaller and lighter light sensor. Glasses are completely fine to me.;2
